County,State,Value,Category Range,Year
Calhoun,AL,72.1,37.8 - 172.3 (647),2016-2018
Calhoun,IA,159.9,37.8 - 172.3 (647),2016-2018
Calhoun,IL,198.2,172.4 - 215.1 (641),2016-2018
Calhoun,AR,222.9,215.2 - 263.3 (645),2016-2018
Calhoun,TX,247.9,215.2 - 263.3 (645),2016-2018
Calhoun,MI,276.5,263.4 - 329.2 (643),2016-2018
Calhoun,FL,288.9,263.4 - 329.2 (643),2016-2018
Calhoun,GA,334.1,329.3 - 1136.3 (644),2016-2018
Calhoun,SC,342.1,329.3 - 1136.3 (644),2016-2018
Calhoun,WV,370.1,329.3 - 1136.3 (644),2016-2018
Calhoun,MS,385.4,329.3 - 1136.3 (644),2016-2018
Callahan,TX,366.1,329.3 - 1136.3 (644),2016-2018
Callaway,MO,269.7,263.4 - 329.2 (643),2016-2018
Calloway,KY,160.6,37.8 - 172.3 (647),2016-2018
Calumet,WI,324,263.4 - 329.2 (643),2016-2018
Calvert,MD,253,215.2 - 263.3 (645),2016-2018
Camas,ID,116.5,37.8 - 172.3 (647),2016-2018
Cambria,PA,219,215.2 - 263.3 (645),2016-2018
Camden,GA,194.2,172.4 - 215.1 (641),2016-2018
Camden,NJ,196.8,172.4 - 215.1 (641),2016-2018
Camden,MO,238.8,215.2 - 263.3 (645),2016-2018
Camden,NC,274.2,263.4 - 329.2 (643),2016-2018
Cameron,LA,108.8,37.8 - 172.3 (647),2016-2018
Cameron,TX,224.4,215.2 - 263.3 (645),2016-2018
Cameron,PA,236.1,215.2 - 263.3 (645),2016-2018
Camp,TX,340.5,329.3 - 1136.3 (644),2016-2018
Campbell,SD,115.2,37.8 - 172.3 (647),2016-2018
Campbell,WY,189.3,172.4 - 215.1 (641),2016-2018
Campbell,VA,196.2,172.4 - 215.1 (641),2016-2018
Campbell,KY,310.1,263.4 - 329.2 (643),2016-2018
Campbell,TN,453.2,329.3 - 1136.3 (644),2016-2018
Camuy,PR,345,329.3 - 1136.3 (644),2016-2018
Canadian,OK,473.5,329.3 - 1136.3 (644),2016-2018
Candler,GA,382.1,329.3 - 1136.3 (644),2016-2018
Cannon,TN,345.3,329.3 - 1136.3 (644),2016-2018
Canyon,ID,247.7,215.2 - 263.3 (645),2016-2018
Canóvanas,PR,359.2,329.3 - 1136.3 (644),2016-2018
Cape Girardeau,MO,67.6,37.8 - 172.3 (647),2016-2018
Cape May,NJ,277.9,263.4 - 329.2 (643),2016-2018
Carbon,UT,114.8,37.8 - 172.3 (647),2016-2018
Carbon,MT,121.4,37.8 - 172.3 (647),2016-2018
Carbon,WY,121.9,37.8 - 172.3 (647),2016-2018
Carbon,PA,214.3,172.4 - 215.1 (641),2016-2018
Caribou,ID,324.4,263.4 - 329.2 (643),2016-2018
Carlisle,KY,207.5,172.4 - 215.1 (641),2016-2018
Carlton,MN,258,215.2 - 263.3 (645),2016-2018
Carolina,PR,331.2,329.3 - 1136.3 (644),2016-2018
Caroline,VA,205.1,172.4 - 215.1 (641),2016-2018
Caroline,MD,292.8,263.4 - 329.2 (643),2016-2018
Carroll,IL,159.2,37.8 - 172.3 (647),2016-2018
Carroll,NH,159.9,37.8 - 172.3 (647),2016-2018
Carroll,VA,161.5,37.8 - 172.3 (647),2016-2018
Carroll,MO,180.8,172.4 - 215.1 (641),2016-2018
Carroll,AR,213.1,172.4 - 215.1 (641),2016-2018
Carroll,IA,220.2,215.2 - 263.3 (645),2016-2018
Carroll,MD,238.3,215.2 - 263.3 (645),2016-2018
Carroll,IN,255.7,215.2 - 263.3 (645),2016-2018
Carroll,OH,263.4,263.4 - 329.2 (643),2016-2018
Carroll,TN,331.9,329.3 - 1136.3 (644),2016-2018
Carroll,GA,342.3,329.3 - 1136.3 (644),2016-2018
Carroll,KY,376,329.3 - 1136.3 (644),2016-2018
Carroll,MS,459.9,329.3 - 1136.3 (644),2016-2018
Carson,TX,245.5,215.2 - 263.3 (645),2016-2018
Carson City,NV,371.6,329.3 - 1136.3 (644),2016-2018
Carter,MO,147.7,37.8 - 172.3 (647),2016-2018
Carter,TN,186.8,172.4 - 215.1 (641),2016-2018
Carter,MT,209,172.4 - 215.1 (641),2016-2018
Carter,KY,299.7,263.4 - 329.2 (643),2016-2018
Carter,OK,556.1,329.3 - 1136.3 (644),2016-2018
Carteret,NC,162.4,37.8 - 172.3 (647),2016-2018
Carver,MN,232.3,215.2 - 263.3 (645),2016-2018
Cascade,MT,281.3,263.4 - 329.2 (643),2016-2018
Casey,KY,294.5,263.4 - 329.2 (643),2016-2018
Cass,MO,138.5,37.8 - 172.3 (647),2016-2018
Cass,MI,164.5,37.8 - 172.3 (647),2016-2018
Cass,MN,177.9,172.4 - 215.1 (641),2016-2018
Cass,ND,235.3,215.2 - 263.3 (645),2016-2018
Cass,NE,261.4,215.2 - 263.3 (645),2016-2018
Cass,IL,347.9,329.3 - 1136.3 (644),2016-2018
Cass,IN,352.8,329.3 - 1136.3 (644),2016-2018
Cass,IA,354.7,329.3 - 1136.3 (644),2016-2018
Cass,TX,531,329.3 - 1136.3 (644),2016-2018
Cassia,ID,156.3,37.8 - 172.3 (647),2016-2018
Castro,TX,174.7,172.4 - 215.1 (641),2016-2018
Caswell,NC,209.2,172.4 - 215.1 (641),2016-2018
Catahoula,LA,379.5,329.3 - 1136.3 (644),2016-2018
Catawba,NC,172,37.8 - 172.3 (647),2016-2018
