County,State,Value,Category Range,Year
Towns,GA,405.5,378.1 - 427.2 (645),2016-2018
Greeley,KS,405.6,378.1 - 427.2 (645),2016-2018
Davie,NC,405.7,378.1 - 427.2 (645),2016-2018
Davis,UT,405.9,378.1 - 427.2 (645),2016-2018
Brookings,SD,406,378.1 - 427.2 (645),2016-2018
Lincoln,KS,406,378.1 - 427.2 (645),2016-2018
Muscatine,IA,406.2,378.1 - 427.2 (645),2016-2018
Madera,CA,406.2,378.1 - 427.2 (645),2016-2018
Greeley,NE,406.2,378.1 - 427.2 (645),2016-2018
Powder River,MT,406.3,378.1 - 427.2 (645),2016-2018
Dodge,WI,406.5,378.1 - 427.2 (645),2016-2018
Morgan,WV,406.6,378.1 - 427.2 (645),2016-2018
New Castle,DE,406.6,378.1 - 427.2 (645),2016-2018
Washington,IA,406.6,378.1 - 427.2 (645),2016-2018
Osborne,KS,406.9,378.1 - 427.2 (645),2016-2018
Brown,WI,406.9,378.1 - 427.2 (645),2016-2018
Yankton,SD,407.1,378.1 - 427.2 (645),2016-2018
Hampshire,WV,407.2,378.1 - 427.2 (645),2016-2018
Langlade,WI,407.3,378.1 - 427.2 (645),2016-2018
Pike,PA,407.3,378.1 - 427.2 (645),2016-2018
Phillips,KS,407.4,378.1 - 427.2 (645),2016-2018
Adair,IA,407.4,378.1 - 427.2 (645),2016-2018
Tioga,NY,407.4,378.1 - 427.2 (645),2016-2018
Adams,NE,407.6,378.1 - 427.2 (645),2016-2018
Holt,MO,407.7,378.1 - 427.2 (645),2016-2018
Buffalo,WI,407.7,378.1 - 427.2 (645),2016-2018
Penobscot,ME,407.8,378.1 - 427.2 (645),2016-2018
Kennebec,ME,407.8,378.1 - 427.2 (645),2016-2018
Medina,OH,407.8,378.1 - 427.2 (645),2016-2018
Hardin,IA,407.9,378.1 - 427.2 (645),2016-2018
Calumet,WI,408,378.1 - 427.2 (645),2016-2018
Washington,NY,408.1,378.1 - 427.2 (645),2016-2018
Orange,FL,408.2,378.1 - 427.2 (645),2016-2018
Bandera,TX,408.2,378.1 - 427.2 (645),2016-2018
Comal,TX,408.3,378.1 - 427.2 (645),2016-2018
Cass,MO,408.3,378.1 - 427.2 (645),2016-2018
Shelby,IA,408.6,378.1 - 427.2 (645),2016-2018
Johnson,WY,408.8,378.1 - 427.2 (645),2016-2018
Floyd,VA,408.9,378.1 - 427.2 (645),2016-2018
Minnehaha,SD,408.9,378.1 - 427.2 (645),2016-2018
Surry,VA,409,378.1 - 427.2 (645),2016-2018
Rabun,GA,409.1,378.1 - 427.2 (645),2016-2018
Wayne,UT,409.3,378.1 - 427.2 (645),2016-2018
Jefferson,KS,409.5,378.1 - 427.2 (645),2016-2018
Fillmore,NE,409.5,378.1 - 427.2 (645),2016-2018
Yancey,NC,409.5,378.1 - 427.2 (645),2016-2018
Iredell,NC,409.6,378.1 - 427.2 (645),2016-2018
Lexington,SC,409.6,378.1 - 427.2 (645),2016-2018
Rusk,WI,409.6,378.1 - 427.2 (645),2016-2018
Essex,NJ,409.8,378.1 - 427.2 (645),2016-2018
Androscoggin,ME,410.1,378.1 - 427.2 (645),2016-2018
Union,NM,410.2,378.1 - 427.2 (645),2016-2018
Valley,NE,410.3,378.1 - 427.2 (645),2016-2018
McIntosh,GA,410.3,378.1 - 427.2 (645),2016-2018
Carbon,WY,410.3,378.1 - 427.2 (645),2016-2018
Pecos,TX,410.3,378.1 - 427.2 (645),2016-2018
Boone,IL,410.4,378.1 - 427.2 (645),2016-2018
Graham,KS,410.6,378.1 - 427.2 (645),2016-2018
Garden,NE,410.6,378.1 - 427.2 (645),2016-2018
Moody,SD,410.8,378.1 - 427.2 (645),2016-2018
Isle of Wight,VA,410.9,378.1 - 427.2 (645),2016-2018
Clarke,VA,411,378.1 - 427.2 (645),2016-2018
Rutland,VT,411,378.1 - 427.2 (645),2016-2018
Orange,VA,411.1,378.1 - 427.2 (645),2016-2018
Lancaster,SC,411.2,378.1 - 427.2 (645),2016-2018
Dawson,GA,411.3,378.1 - 427.2 (645),2016-2018
Lycoming,PA,411.4,378.1 - 427.2 (645),2016-2018
Garfield,UT,411.5,378.1 - 427.2 (645),2016-2018
Braxton,WV,411.5,378.1 - 427.2 (645),2016-2018
Miami,KS,411.5,378.1 - 427.2 (645),2016-2018
Piatt,IL,411.5,378.1 - 427.2 (645),2016-2018
Clay,FL,411.6,378.1 - 427.2 (645),2016-2018
Lorain,OH,411.8,378.1 - 427.2 (645),2016-2018
Kendall,TX,412,378.1 - 427.2 (645),2016-2018
Sullivan,NY,412.3,378.1 - 427.2 (645),2016-2018
